codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
P1M1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-12T14:13:19Z,2019-09-12T14:13:19Z,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,10.07 am,-69.8201186,18.5131405,0,40.5,Área del play,1a5,6a9,6a9,2019-09-14T00:00:00Z,NULL,Formulario de ejemplo,Palma real,uuid:c9a4d848-ee83-44d2-a91f-88bbfdc8a749,eagv,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:6f4ab141-d70b-4a92-909e-aaf7c5ddfca6,2019-10-02,dgb,NULL,uuid:6f4ab141-d70b-4a92-909e-aaf7c5ddfca6,paratrechinasp
P1M2,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:37Z,2019-09-17T01:23:37Z,uuid:99349817-83d2-48e4-b10b-22618fabe91b,10.57 am,-69.9149983,18.4649742,0,61.5,Salón de kárate,1a5,0,1a5,2019-09-15T00:00:00Z,NULL,NULL,Helechos,uuid:99349817-83d2-48e4-b10b-22618fabe91b,eagv,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:40Z,2019-09-26T17:42:40Z,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,2019-09-26,"dgb,otra",El tali,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,paratrechinasp
P1M3,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:37Z,2019-09-17T01:23:37Z,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,11.16 am,-69.9157698,18.464954,0,44.1739997864,Cerca de una pared,0,0,1a5,2019-09-15T00:00:00Z,NULL,NULL,Palmas,uuid:97dc8d29-2377-452e-9d6b-b2511798566d,eagv,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:39Z,2019-09-26T17:42:39Z,uuid:9833e53b-0fb0-4866-860e-91a72c8d7eb5,2019-09-26,"dgb,otra",El tali,uuid:9833e53b-0fb0-4866-860e-91a72c8d7eb5,pheidolesp
P25M3,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-17T01:23:39Z,2019-09-17T01:23:39Z,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,11.31 am,-69.9156007,18.464904,0,40.5,Estacionamientos del Tony Barreiro,6a9,0,6a9,2019-09-15T00:00:00Z,NULL,NULL,NULL,uuid:0b77bc0c-b77f-4937-962b-67ba37721453,eagv,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:cbc8e427-7d09-4928-b437-803131ef6673,2019-10-02,dgb,NULL,uuid:cbc8e427-7d09-4928-b437-803131ef6673,solenopsissp
P78M1,p78,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:09Z,2019-09-18T15:57:09Z,uuid:0253470d-d5b4-4686-96e9-d569890747fa,10.33 am,-69.915866,18.4612369,0,80,Área de medicina,0,0,1a5,2019-09-18T00:00:00Z,NULL,Localizado en el tronco de un árbol,Flamboyan,uuid:0253470d-d5b4-4686-96e9-d569890747fa,"eagv,dgb",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:54Z,2019-10-02T14:17:54Z,uuid:60063602-c4d4-4b31-acd7-db3ae28b451e,2019-10-02,dgb,NULL,uuid:60063602-c4d4-4b31-acd7-db3ae28b451e,dorymyrmexsp
P10M1,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:09Z,2019-09-18T15:57:09Z,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,11.25 am,-69.9135403,18.4633491,0,87.3779983521,Área del play,10omas,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:37a049b5-1be9-4fc0-995b-e5d241464aa3,"eagv,dgb",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:52Z,2019-10-02T14:17:52Z,uuid:fe6256eb-00f5-43c7-a2bb-09d59a964c30,2019-10-02,dgb,NULL,uuid:fe6256eb-00f5-43c7-a2bb-09d59a964c30,dorymyrmexsp
P10M2,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:10Z,2019-09-18T15:57:10Z,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,11.35 am,-69.9136633,18.463585,0,193.5,Área del play,1a5,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:3e14995d-c44e-4a5d-8170-2613cdd81ee3,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:e099700b-ba60-47da-b18a-3306c34a5416,2019-10-02,dgb,NULL,uuid:e099700b-ba60-47da-b18a-3306c34a5416,solenopsissp
P10M3,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:10Z,2019-09-18T15:57:10Z,uuid:c88fa162-7596-44e5-99d9-5223ab534485,11.40 am,-69.9135614,18.4634018,0,42,Área del play,1a5,6a9,1a5,2019-09-18T00:00:00Z,NULL,NULL,NULL,uuid:c88fa162-7596-44e5-99d9-5223ab534485,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:54Z,2019-10-02T14:17:54Z,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,2019-10-02,dgb,NULL,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,paratrechinasp
P27M1,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:11Z,2019-09-18T15:57:11Z,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,11.45 am,-69.91439078,18.4638291232,0,0,NULL,1a5,0,0,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:2db24de0-be4f-44f3-b3b4-ad90ccc3e371,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:52Z,2019-10-02T14:17:52Z,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,2019-10-02,dgb,NULL,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,solenopsissp
P27M2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T15:57:12Z,2019-09-18T15:57:12Z,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,11.59 am,-69.9149627611,18.4637381702,0,0,Área del play,0,0,6a9,2019-09-18T00:00:00Z,NULL,NULL,Cycas circinalis,uuid:10f22108-356b-4b1a-9709-03ca0950b48f,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:39Z,2019-09-26T17:42:39Z,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,2019-09-26,"dgb,otra",El tali,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,"pheidolesp,solenopsissp"
